PartitionKey,RowKey,OrderNumber,OrderNumber@type,Code,Code@type,ValidityFlag,ValidityFlag@type,ShortDescription,ShortDescription@type,LongDescription,LongDescription@type
ICD10,376933d0-c73a-453c-a649-001f49bb9a6b,31003,,R82993,,true,,Hyperuricosuria,,Hyperuricosuria,
ICD10,3769aeb7-d4dd-4f20-8ced-aa428e18bfdb,45674,,S52136C,,true,,"Nondisp fx of neck of unsp rad, init for opn fx type 3A/B/C",,"Nondisplaced fracture of neck of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",
ICD10,376a15a8-5ef0-41bd-89e5-4389221a5306,46001,,S52235Q,,true,,"Nondisp oblique fx shaft of l ulna, 7thQ",,"Nondisplaced oblique fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with malunion",
ICD10,376affe9-d56a-4d94-8210-e6e1baabd908,54239,,S63276,,false,,Dislocation of unsp interphalangeal joint of r little finger,,Dislocation of unspecified interphalangeal joint of right little finger,
ICD10,376b2594-7dd9-43f3-9546-72d7c3fd791d,22035,,M84371,,false,,"Stress fracture, right ankle",,"Stress fracture, right ankle",
ICD10,376bd95c-7573-4c54-96cf-86ef9a2efcbe,10981,,H70211,,true,,"Acute petrositis, right ear",,"Acute petrositis, right ear",
ICD10,376d75ea-a2b6-4b1c-8156-9dedcd44607d,48773,,S56117,,false,,Strain of flexor musc/fasc/tend r little finger at forarm lv,,"Strain of flexor muscle, fascia and tendon of right little finger at forearm level",
ICD10,376e5a00-bdcd-49ef-bac3-3137ad40913e,10339,,H5331,,true,,Abnormal retinal correspondence,,Abnormal retinal correspondence,
ICD10,376e7576-b1d6-4877-8f53-9a8af9a364bd,76643,,T411X5S,,true,,"Adverse effect of intravenous anesthetics, sequela",,"Adverse effect of intravenous anesthetics, sequela",
ICD10,37704736-e1b0-417e-9fd2-95a4e1a070d7,11709,,I319,,true,,"Disease of pericardium, unspecified",,"Disease of pericardium, unspecified",
ICD10,37709081-fac6-4fa6-807a-f63ef59af886,35266,,S15322D,,true,,"Major laceration of left internal jugular vein, subs encntr",,"Major laceration of left internal jugular vein, subsequent encounter",
ICD10,3770e461-1880-4725-96f1-6947bc841bc8,27819,,O43899,,true,,"Other placental disorders, unspecified trimester",,"Other placental disorders, unspecified trimester",
